SwitchboardID,ItemNumber,ItemText,Command,Argument
1,0,"Main Switchboard",,"Default"
1,1,"View Form",1,"2"
1,2,"View Table",1,"3"
1,3,"View Report",1,"4"
1,4,"Print Report",1,"5"
1,5,"Exit Application",6,
2,0,"View Form",0,
2,1,"Inventory Data Entry Master Form",7,"Open Inventory Data Entry Master Form"
2,2,"Return to Main Switchboard",1,"1"
3,0,"View Table",0,
3,1,"Inventory Data Entry Table",7,"Open Inventory Data Entry Table"
3,2,"Requested Material Table",7,"Open Requested Material Table"
3,3,"Requisitioner Table",7,"Open Requisitioner Table"
3,4,"Return to Main Switchboard",1,"1"
4,0,"View Report",0,
4,1,"Inventory Data Entry/Requisitioner Report",7,"Preview Inventory Data Entry/Requisitioner Report"
4,2,"Requested Material Summary",7,"Preview Requested Material Summary"
4,3,"Return to Main Switchboard",1,"1"
5,0,"Print Report",0,
5,1,"Inventory Data Entry/Requisitioner Report",7,"Print Inventory Data Entry/Requisitioner Report"
5,2,"Requested Material Summary",7,"Print Requested Material Summary"
5,3,"Return to Main Switchboard",1,"1"
